function	callee
lIIIIII	TriggerRegisterTimerEventSingle
lIIIIlI	DialogDisplayBJ
lIIIIlI	DialogSetMessageBJ
lIIIIlI	DisableTrigger
lIIIIlI	DisplayTimedTextToForce
lIIIIlI	PanCameraToTimedLocForPlayer
lIIIIlI	TriggerExecute
lIIIIlI	lIIiiI
lIIIiII	DisableTrigger
lIIIiII	TriggerAddAction
lIIIiII	TriggerAddCondition
lIIIiII	TriggerRegisterEnterRectSimple
lIIIilI	DisplayTimedTextToForce
lIIIlII	TriggerAddAction
lIIIlII	TriggerAddCondition
lIIIlII	TriggerRegisterDialogEventBJ
lIIIllI	DisplayTimedTextToForce
lIIiIII	TriggerAddAction
lIIiIII	TriggerAddCondition
lIIiIII	TriggerRegisterDialogEventBJ
lIIiiII	AdjustPlayerStateBJ
lIIiiII	CreateNUnitsAtLoc
lIIiiII	DisableTrigger
lIIiiII	DisplayTimedTextToForce
lIIiiII	ShowUnitHide
lIIiiII	TriggerExecute
lIIiiII	TriggerSleepAction
lIIiiiI	TriggerAddAction
lIIiilI	CreateFogModifierRectBJ
lIIiilI	PanCameraToTimedLocForPlayer
lIIilII	TriggerAddAction
lIIiliI	DisableTrigger
lIIiliI	DisplayTimedTextToForce
lIIiliI	ShowUnitHide
lIIiliI	TriggerSleepAction
lIIillI	TriggerAddAction
lIIillI	TriggerRegisterTimerEventSingle
lIIlIII	SetPlayerTechMaxAllowedSwap
lIIlIiI	TriggerAddAction
lIIlIiI	TriggerRegisterTimerEventSingle
lIIliII	SetPlayerHandicapBJ
lIIliiI	TriggerAddAction
lIIliiI	TriggerAddCondition
lIIliiI	TriggerRegisterPlayerChatEvent
lIIllII	AdjustPlayerStateBJ
lIIlliI	TriggerAddAction
lIIlliI	TriggerAddCondition
lIiIIiI	CustomDefeatBJ
lIiIIiI	DisplayTimedTextToForce
lIiIIiI	lIIiiI
lIiIIlI	TriggerAddAction
lIiIIlI	TriggerAddCondition
lIiIilI	SetPlayerHandicapBJ
lIiIlII	TriggerAddAction
lIiIliI	TriggerAddAction
lIiIliI	TriggerAddCondition
lIiiIII	AdjustPlayerStateBJ
lIiiIiI	TriggerAddAction
lIiiIiI	TriggerAddCondition
lIiiIlI	AdjustPlayerStateBJ
lIiiiII	TriggerAddAction
lIiiiiI	AdjustPlayerStateBJ
lIiiilI	TriggerAddAction
lIiillI	AdjustPlayerStateBJ
lIiillI	DisplayTimedTextToPlayer
lIilIII	TriggerAddAction
lIilIII	TriggerRegisterTimerEventPeriodic
lIilIlI	TriggerAddAction
lIilIlI	TriggerRegisterAnyUnitEventBJ
lIiliII	SetPlayerTechResearchedSwap
lIiliiI	TriggerAddAction
lIiliiI	TriggerRegisterTimerEventSingle
lIililI	SetPlayerTechResearchedSwap
lIillII	TriggerAddAction
lIillII	TriggerRegisterTimerEventSingle
lIlIIII	IssueTargetOrderBJ
lIlIIiI	AddSpecialEffectLocBJ
lIlIIiI	ForGroupBJ
lIlIIiI	SetUnitLifePercentBJ
lIlIIiI	UnitAddAbilityBJ
lIlIIiI	UnitRemoveAbilityBJ
lIlIIiI	lIIiiI
lIlIIlI	TriggerAddAction
lIlIIlI	TriggerAddCondition
lIlIIlI	TriggerRegisterAnyUnitEventBJ
lIlIiII	iiiIlII
lIlIiII	iiiIllI
lIlIiII	iiiiIiI
lIlIiII	iiiiiII
lIlIiII	iiiiilI
lIlIiII	iiiillI
lIlIiII	iiilIlI
lIlIiII	iiillII
lIlIiII	iilIIiI
lIlIiII	iilIilI
lIlIiII	iiliIII
lIlIiII	iiliiiI
lIlIiII	iilillI
lIlIiII	iilliII
lIlIiII	iillilI
lIlIiII	ilIIliI
lIlIiII	ilIlIII
lIlIiII	iliIIlI
lIlIiII	iliiiiI
lIlIiII	iliilII
lIlIiII	iliillI
lIlIiII	ililIlI
lIlIiII	ilililI
lIlIiII	ililllI
lIlIiII	illIIlI
lIlIiII	illIilI
lIlIiII	illIllI
lIlIiII	illiIlI
lIlIiII	illiilI
lIlIiII	illiliI
lIlIiII	illlIII
lIlIiII	illlilI
lIlIiII	illlliI
lIlIiII	lIIIIII
lIlIiII	lIIIiII
lIlIiII	lIIIlII
lIlIiII	lIIiIII
lIlIiII	lIIiiiI
